Year,Assess,Peel1,Peel2,Peel3,Peel4,Peel5,Peel6,Peel7
1973,22160.63,22160.63,22160.63,22160.63,22160.63,22160.63,22160.63,22160.63
1974,14780.41,14780.41,14780.41,14780.41,14780.41,14780.41,14780.41,14780.41
1975,9014.28,9014.28,9014.28,9014.28,9014.28,9014.28,9014.28,9014.28
1976,10023.85,10023.85,10023.85,10023.85,10023.85,10023.85,10023.85,10023.85
1977,8350.85,8350.85,8350.85,8350.85,8350.85,8350.85,8350.85,8350.85
1978,6168.66,6168.66,6168.66,6168.66,6168.66,6168.66,6168.66,6168.66
1979,8500.70,8500.70,8500.70,8500.70,8500.70,8500.70,8500.70,8500.70
1980,10884.19,10884.19,10884.19,10884.19,10884.19,10884.19,10884.19,10884.19
1981,10143.69,10143.69,10143.69,10143.69,10143.69,10143.69,10143.69,10143.69
1982,12974.57,12974.57,12974.57,12974.57,12974.57,12974.57,12974.57,12974.57
1983,11102.99,11102.99,11102.99,11102.99,11102.99,11102.99,11102.99,11102.99
1984,3846.86,3846.86,3846.86,3846.86,3846.86,3846.86,3846.86,3846.86
1985,2558.03,2558.03,2558.03,2558.03,2558.03,2558.03,2558.03,2558.03
1986,3210.14,3210.14,3210.14,3210.14,3210.14,3210.14,3210.14,3210.14
1987,2749.58,2749.58,2749.58,2749.58,2749.58,2749.58,2749.58,2749.58
1988,2197.99,2197.99,2197.99,2197.99,2197.99,2197.99,2197.99,2197.99
1989,4169.75,4169.75,4169.75,4169.75,4169.75,4169.75,4169.75,4169.75
1990,4749.64,4749.64,4749.64,4749.64,4749.64,4749.64,4749.64,4749.64
1991,3485.02,3485.02,3485.02,3485.02,3485.02,3485.02,3485.02,3485.02
1992,4471.61,4471.61,4471.61,4471.61,4471.61,4471.61,4471.61,4471.61
1993,3965.53,3965.53,3965.54,3965.54,3965.54,3965.55,3965.55,3965.54
1994,2823.17,2823.17,2823.17,2823.18,2823.19,2823.21,2823.22,2823.21
1995,2940.88,2940.89,2940.90,2940.94,2940.96,2941.04,2941.07,2941.01
1996,4992.40,4992.41,4992.46,4992.55,4992.62,4992.82,4992.91,4992.75
1997,6378.63,6378.65,6378.75,6378.94,6379.08,6379.48,6379.65,6379.33
1998,7258.73,7258.77,7258.98,7259.38,7259.69,7260.56,7260.92,7260.22
1999,9592.00,9592.09,9592.66,9593.74,9594.56,9596.92,9597.88,9596.00
2000,10258.97,10259.20,10260.59,10263.20,10265.20,10270.91,10273.24,10268.69
2001,9252.10,9252.65,9255.90,9262.01,9266.70,9280.09,9285.54,9274.89
2002,10104.38,10105.53,10112.48,10125.52,10135.54,10164.11,10175.74,10153.03
2003,10029.28,10031.96,10048.10,10078.40,10101.70,10168.12,10195.16,10142.35
2004,5416.42,5422.63,5459.94,5529.83,5583.47,5735.99,5797.90,6217.08
2005,3158.67,3175.85,3278.97,3471.87,3619.63,4038.69,4407.50,5670.40
2006,2313.51,2378.29,2767.46,3496.33,4056.14,4380.01,5007.72,
2007,2734.13,2921.17,4044.89,6160.98,9043.21,9730.18,,
2008,3234.50,3660.26,6227.55,10441.87,16290.90,,,
2009,3226.56,4191.18,8006.79,13656.29,,,,
2010,3003.62,4441.94,7765.75,,,,,
2011,2988.06,4552.36,,,,,,
2012,2593.30,,,,,,,
